Trial 1,Trial 2,Trial 3,Average
10,13,25,16
11,9,28,16
9,5,33,15.666666666666666
14,7,30,17
10,14,26,16.666666666666668
14,8,31,17.666666666666668
13,6,29,16
9,6,26,13.666666666666666
16,6,30,17.333333333333332
15,11,29,18.333333333333332
20,9,27,18.666666666666668
15,12,31,19.333333333333332
12,5,23,13.333333333333334
17,8,29,18
13,7,31,17
17,10,30,19
18,10,27,18.333333333333332
17,6,30,17.666666666666668
15,8,28,17
13,3,33,16.333333333333332
13,5,30,16
11,6,35,17.333333333333332
