Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10,Trial 11,Trial 12,Trial 13,Trial 14,Trial 15,Trial 16,Average
,,,,,2057,,,,,,,,,,,128.5625
,,,,,1983,,,,,,,,,,,123.9375
,,,,,2208,,,,,,,,,,,138
,,,,,1745,,,,,,,,,,,109.0625
,,,,,1637,,,,,,,,,,,102.3125
,,,,,2165,,,,,,,,,,,135.3125
,,,,,1961,,,,,,,,,,,122.5625
,,,,,1922,,,,,,,,,,,120.125
,,,,,2238,,,,,,,,,,,139.875
,,,,,1529,,,,,,,,,,,95.5625
,,,,,2170,,,,,,,,,,,135.625
,,,,,1465,,,,,,,,,,,91.5625
,,,,,1557,,,,,,,,,,,97.3125
,,,,,1563,,,,,,,,,,,97.6875
,,,,,2085,,,,,,,,,,,130.3125
,,,,,1692,,,,,,,,,,,105.75
,,,,,1901,,,,,,,,,,,118.8125
,,,,,1758,,,,,,,,,,,109.875
,,,,,1226,,,,,,,,,,,76.625
,,,,,1545,,,,,,,,,,,96.5625
,,,,,1931,,,,,,,,,,,120.6875
,,,,,2148,,,,,,,,,,,134.25
,,,,,1652,,,,,,,,,,,103.25
,,,,,2208,,,,,,,,,,,138
,,,,,1579,,,,,,,,,,,98.6875
,,,,,1681,,,,,,,,,,,105.0625
,,,,,1500,,,,,,,,,,,93.75
,,,,,2022,,,,,,,,,,,126.375
,,,,,2379,,,,,,,,,,,148.6875
,,,,,1473,,,,,,,,,,,92.0625
,,,,,1813,,,,,,,,,,,113.3125
,,,,,1503,,,,,,,,,,,93.9375
,,,,,1839,,,,,,,,,,,114.9375
,,,,,1633,,,,,,,,,,,102.0625
,,,,,1918,,,,,,,,,,,119.875
,,,,,2212,,,,,,,,,,,138.25
,,,,,1381,,,,,,,,,,,86.3125
,,,,,1360,,,,,,,,,,,85
,,,,,2608,,,,,,,,,,,163
,,,,,2097,,,,,,,,,,,131.0625
,,,,,1625,,,,,,,,,,,101.5625
,,,,,1962,,,,,,,,,,,122.625
,,,,,1757,,,,,,,,,,,109.8125
,,,,,1442,,,,,,,,,,,90.125
,,,,,1797,,,,,,,,,,,112.3125
,,,,,1497,,,,,,,,,,,93.5625
,,,,,1608,,,,,,,,,,,100.5
,,,,,1442,,,,,,,,,,,90.125
,,,,,1722,,,,,,,,,,,107.625
,,,,,2148,,,,,,,,,,,134.25
,,,,,2095,,,,,,,,,,,130.9375
,,,,,2211,,,,,,,,,,,138.1875
,,,,,1759,,,,,,,,,,,109.9375
,,,,,1939,,,,,,,,,,,121.1875
,,,,,2253,,,,,,,,,,,140.8125
,,,,,1311,,,,,,,,,,,81.9375
,,,,,1221,,,,,,,,,,,76.3125
,,,,,1193,,,,,,,,,,,74.5625
,,,,,1633,,,,,,,,,,,102.0625
,,,,,1863,,,,,,,,,,,116.4375
,,,,,2032,,,,,,,,,,,127
,,,,,1793,,,,,,,,,,,112.0625
,,,,,1695,,,,,,,,,,,105.9375
,,,,,2138,,,,,,,,,,,133.625
,,,,,1550,,,,,,,,,,,96.875
,,,,,1965,,,,,,,,,,,122.8125
,,,,,1504,,,,,,,,,,,94
,,,,,2344,,,,,,,,,,,146.5
,,,,,1854,,,,,,,,,,,115.875
,,,,,1613,,,,,,,,,,,100.8125
,,,,,1647,,,,,,,,,,,102.9375
,,,,,1902,,,,,,,,,,,118.875
,,,,,1984,,,,,,,,,,,124
,,,,,1710,,,,,,,,,,,106.875
